Name,Location,Address,Establishment Type,Restaurants Features,Meals,Prices ,Cuisine,Meal Type,Good_for,Reviews,Timings,Website_url,Must_try_items,Phone,Description
Piccolo Roma,,Address: Anjuna-Chapora Rd. Vagator,,,,Price: pizza & pasta ₹210-520,,,,,Hours: 10am-11pm,,,Phone: 7507806821,"With an Italian chef in the kitchen, some say the wood-fired pizzas and house-made pasta is the best in Vagator and there's an undeniably pleasant atmosphere in the garden cafe, with its cushions and fairy lights. Starters of antipasto, crostini, soups and salads also grace the menu."
Karma Kitchen,,Address: Junas Waddo,,,,Price: mains ₹220-650,,,,,Hours: 9am-10pm,,,Phone: 8894204735,"This cruisey courtyard cafe offers a bit of everything but specialises in thalis, tandoor kebabs and seafood, or a combination such as the seafood souvlaki kebab. It's also a good place to come for a drink, with wine by the glass and regular live music, including Sunday sessions."
Cafe Cotinga,,Address: 1286 Kumar Vaddo,,,,Price: mains ₹210-550,,,,,Hours: 8.30am-11pm,Website: www.cafecotinga.com,,Phone: 8605010949,"The garden cafe at the Tamarind Hotel on the Assagao/Anjuna fringe is a fabulous place for all-day breakfasts, pizzas and Indian dishes, but many come just for the homemade desserts from the in-house bakery – New York cheesecake and apple crumble for starters. Also a good bar."
La Plage,,,,,,Price: mains ₹200-450,,,,,"Hours: 8.30am-10pm, to 4pm Tue, Thu, Fri Dec-Apr",,,Phone: 9822121712,"Renowned in these parts, La Plage takes beach shack to the next level with its inspired gourmet French-Mediterranean food. Along with excellent salads, seafood and fabulous desserts, La Plage stocks great wines. It’s usually open from late November or early December to April."
Burger Factory,,Address: Anjuna-Mapusa Rd,,,,Price: burgers ₹300-500,,,,,Hours: 11.30am-3.30pm & 6.30-10.30pm Thu-Tue,,,,"There’s no mistaking what’s on offer at this little open-sided diner. The straightforward menu of burgers isn't cheap, but the buns are big and they are interesting and well crafted. Choose between beef or chicken burgers and toppings such as blue cheese, bacon and avocado."
Dropadi,,,,,,Price: mains ₹180-400,,,,,Hours: 9am-10pm,,,,"Ask locals for their favourite beach restaurant and many will say Dropadi, an ordinary looking place at the main beach entrance. The speciality here is fresh seafood, Goan and pan-Indian cuisine. It’s been around long enough to justify its reputation for well-prepared food."
Banyan Tree,,Address: Vivanta by Taj Holiday Village,,,,Price: mains ₹760-1300,,,,,Hours: 12.30-2.30pm & 7.30-10.30pm,,,Phone: 0832-6645858,"Refined Thai food is the trademark of the Taj’s romantic Banyan Tree, its swish courtyard set beneath the branches of a vast old banyan tree. If you’re a fan of green curry, don’t miss the succulent, signature version on offer here. Ambience, and dress, is formal."
Verandah,,Address: 31st January Rd,,,,Price: mains ₹180-420,,,,,Hours: 11am-11pm,,,Phone: 0832-2226523,"The breezy 1st-floor restaurant at Panjim Inn is indeed on the balcony, with just a handful of finely carved tables, Fontainhas street views and snappy service. Goan cuisine is the speciality, but there’s also a range of Indian and continental dishes and local wines."
Jaws,,Address: Vagator Beach Rd. Vagator,,,,Price: mains ₹50-300,,,,,Hours: 9am-9.30pm,,,,"With a bakery counter and inexpensive dosas and South Indian thalis, unassuming Jaws is an old-timer but one of the best-value eateries in Vagator. Good for a lazy breakfast or afternoon beer."
Mandala Cafe,,Address: Agonda Beach Rd,,,,"Price: chai ₹15, dishes ₹100-250",,,,,Hours: 8am-11pm,,,Phone: 8554091819,Feeling like a glass of masala chai or a vegan pancake? Slip into a cushioned alcove at this shanti little travellers' cafe for a down-to-earth antithesis to Agonda's over-the-top beach bars.
Viva Goa,,,,,,Price: mains ₹150-400,,,,,Hours: 11am-3pm & 7-11pm,,,,"Upstairs in Clube Harmonia, South Goa's oldest cultural club venue, Viva Goa is a new iteration of the long-running Colva restaurant, serving genuine Goan cuisine, seafood and a full bar."
Ruta's Roadhouse,,Address: Mapusa Rd,,,,"Price: breakfast ₹300, small/big plates ₹200/300",,,,,Hours: 8.30am-6.30pm Mon-Sat,Website: www.rutas.in,,Phone: 8380025757,"Ruta's has made a home in an old Portuguese house in Assagao, serving up excellent set breakfasts and global culinary offerings from jambalaya to spicy laksa."
Shiv Sai,,,,,,"Price: thalis ₹100, mains ₹100-200",,,,,Hours: 9am-11pm,,,,"A thoroughly local lunch joint on the parallel beach road, Shiv Sai serves tasty thalis of the veggie, fish and Gujarati kinds, as well as Goan dishes."
Anandashram,,Address: 31st January Rd,,,,"Price: thalis ₹90-140, mains ₹100-350",,,,,"Hours: noon-3.30pm & 7.30-10.30pm Mon-Sat, noon-3pm Sun",,,,"This little place is renowned locally for seafood, serving up simple but tasty fish curries, as well as veg and nonveg thalis for lunch and dinner."
FlourPower Bakeria,,Address: Market Rd,,,,Price: bread & baked goods from ₹80,,,,,"Hours: 11am-8pm Wed, 7-11pm Fri-Sun",,,Phone: 9867276541,"This artisanal bakery produces fresh sourdough bread loaves with loads of love, along with croissants, cakes, cookies and fabulous pizzas."
Café Tato,,Address: Valaulikar Rd,,,,Price: thalis ₹100,,,,,Hours: 7am-10pm Mon-Sat,,,,"A favourite local lunch spot: tasty vegetarian fare in a bustling backstreet canteen, and delicious all-you-can-eat thalis."
AJ Supermarket,,Address: Anjuna-Vagator Rd. Vagator,,,,,,,,,Hours: 9am-8.30pm Mon-Sat,,,Phone: 0832-2274555,Vagator's best supermarket. Full range of groceries and alcohol.
Casandré,,Address: Calangute Beach Rd. Calangute,,,,Price: mains ₹190-400,,,,,Hours: 6pm-midnight,,,,"Housed in an old Portuguese bungalow, this dim and tranquil taverna seems a little out of place amid the tourist tat of Calangute’s main beach drag. With a long and old-fashioned menu encompassing everything from ‘sizzlers’ to Goan specialities, and a cocktail list featuring the good old gimlet, this is a lovable time warp."
Food Chord,,"Address: 544/2, Ozran Beach Rd. Vagator",,,,Price: mains ₹175-550,,,,,Hours: 7am-11.30pm,,,Phone: 0832-6745000,"At the crazy retro I Love Bellbottoms hotel, this American-style diner has booth seating, Arctic air-con and a menu of club sandwiches, burgers, hot dogs and pizzas. The inner window looks out to the violin-shaped pool (nonguests can swim for ₹1500, redeemable on food and drinks). Full bar with draught beer. Vagator or Vegas?"
Goan Hub,,Address: Anjuna-Mapusa Rd,,,,Price: mains ₹180-350,,,,,Hours: 9am-midnight,,,Phone: 0832-227 3765,"From the same owner as Mango Tree and Hilltop in Vagator, Goan Hub is a new bar-restaurant with that familiar streetside bar feel with beers on tap and a broad menu of Indian, Goan and Western food. It hasn't yet gained the following of Mango Tree but it's well located on the main road to the beach so anything could happen."
Sher-E-Punjab,,Address: 18th June Rd,,,,Price: mains ₹200-380,,,,,Hours: 11am-11.30pm,,,Phone: 0832-2227975,"Sher-E-Punjab is widely regarded as one of the best North Indian places in Panaji, catering to well-dressed locals and business visitors with its generous, carefully spiced Punjabi dishes, including tandoori classics and rich butter chicken. Also does a few Goan dishes. The pleasant garden terrace out back is refreshing."
Double Dutch,,,,,,"Price: mains ₹120-450, steaks ₹420-500",,,,,Hours: 8am-10pm,,,,"In a peaceful garden set back from the main road to the Glastonbury St beach entrance, Double Dutch has long been popular for its steaks, salads, Thai and Indonesian dishes, and famous apple pies. It’s a relaxed meeting place with secondhand books, newspapers and a useful noticeboard for current Arambolic affairs."
Mike's Place,,,,,,Price: mains ₹180-450,,,,,Hours: 8.30am-11pm,Website: www.mikesplacegoa.com,,Phone: 0832-2871248,"Down a lane opposite Novotel's Dona Sylvia, nudging up against the Sal River, Mike's is something of an institution (as is Mike's 'Love Shack' on the beach). The menu is pretty standard Indian-Goan-Chinese-continental but it has stood the test of time and the location is great. Rooms here (₹2500) are good value."
Cliff's Beach Restaurant,,,,,,Price: mains ₹180-400,,,,,Hours: 9am-11pm,,,,"The best way to get away from the Baga beach crowd is to walk around the cliff edge north of the Baga River to secluded Cliff's. The menu is typical beach shack but it's just a great location for a cold beer and a swim in the calm waters off the beach. After dark, staff will help walk you back around the cliff."
George Bar & Restaurant,,Address: 18th June Rd,,,,Price: mains ₹160-350,,,,,Hours: 11.30am-3.30pm & 6-10.30pm Mon-Sat,,,,"There’s something very rustic and local about this cramped restaurant in the shadow of Panaji’s main church. Seafood and Goan classics are done well though, and beef steaks are on the menu, though prices have risen to reflect the location. The upstairs section has air-con."
Vihar Restaurant,,Address: MG Rd,,,,Price: veg thalis ₹110-160,,,,,Hours: 7-10.30pm,,,Phone: 0832-2225744,"A vast menu of ‘pure veg’ food, great big thalis, South Indian dosas and a plethora of fresh juices make this clean, simple canteen a popular place for locals and visitors. One of the few places in this area that’s still busy late into the evening. Beer bar upstairs."
Ruchira Restaurant,,Address: Hotel Satyaheera,,,,Price: mains ₹150-320,,,,,Hours: 11am-11pm,,,,"On the top floor of Hotel Satyaheera, this rooftop garden restaurant and bar is popular with tourists and widely deemed one of Mapusa’s better family restaurants, serving tasty Goan, Indian and continental dishes (including seafood) at lower prices than the beach shacks."
Yangkhor Moonlight,,Address: Ozran Beach Rd. Vagator,,,,Price: mains ₹170-400,,,,,Hours: 8am-11pm,,,,"Well known locally for its fresh Tibetan food such as momos (Tibetan dumplings), thukpa (soup) and the rarely seen Tibetan thali (₹250), as well as pasta dishes and even sushi. The decor is simple but most travellers enjoy the food and the ambience."
Cafe Bhonsle,,,,,,Price: thalis from ₹100,,,,,"Hours: 7am-10pm Mon-Sat, to 3pm Sun",,,Phone: 0832-2318725,"This all-vegetarian restaurant, on the right-hand side of the main road when entering town from the south, makes a good lunch stop, whipping out high-speed thalis, an extensive menu of Indian and Chinese food, and a mean bhaji-pau (deep-fried bread and curried vegetables)."
Outback Bar,,,,,,Price: mains ₹100-300,,,,,Hours: 8am-late,,,,"Among the many little clifftop restaurants, Outback is consistently good for seafood and is always a great place for a sundowner, preferably right after you’ve hit the thermals over nearby Kalacha Beach."
Tropica,South Goa,Benaulim,,,,"Rs  1,600 for 2 (approx)",Continental and Goan and North Indian,,,,,,,,
Jack Rabbit Slims,South Goa,Benaulim,,,,Rs  700 for 2 (approx),Continental,,,,,,,,
Major Milkshake,South Goa,Benaulim,,,,"Rs  2,000 for 2 (approx)",Finger Food and Continental,,,,,,,,
Nostalgia,South Goa,Margao,,,,"Rs  1,200 for 2 (approx)",Portuguese and Goan,,,,,,,,
The Den,South Goa,Margao,,,,"Rs  1,800 for 2 (approx)",Continental and Finger Food,,,,,,,,
Melati RestoBar,South Goa,Betalbatim,,,,"Rs  1,300 for 2 (approx)",Goan and South Indian,,,,,,,,
Upper Deck,South Goa,Cavelossim,,,,"Rs  2,500 for 2 (approx)",Continental and Goan and North Indian and Seafood,,,,,,,,
Amalia,South Goa,Cavelossim,,,,"Rs  2,000 for 2 (approx)",Finger Food,,,,,,,,
Farm Fresh,South Goa,Cavelossim,,,,Rs  800 for 2 (approx),Chinese and North Indian and Continental,,,,,,,,
Firepit,South Goa,Colva,,,,"Rs  1,400 for 2 (approx)",Continental and Finger Food,,,,,,,,
Cilantro at Strike Casino,North Goa,Bambolim,,,,"Rs  2,000 for 2 (approx)",Continental and North Indian and Seafood and Chinese,,,,,,,,
Taverna,North Goa,Panjim,,,,"Rs  1,500 for 2 (approx)",Finger Food,,,,,,,,
Sea Pebble Restaurant And Bar,North Goa,Dona Paula,,,,"Rs  1,200 for 2 (approx)",Chinese and North Indian and Goan,,,,,,,,
Bottlejack Bistro,North Goa,Alto Porvorim,,,,"Rs  1,300 for 2 (approx)",Continental and North Indian and European,,,,,,,,
The Basil Leaf,North Goa,Porvorim,,,,Rs  700 for 2 (approx),North Indian and Mughlai and Goan and Chinese and Asian,,,,,,,,
Carlito's by the Sea,North Goa,Verem,,,,"Rs  1,100 for 2 (approx)",Goan,,,,,,,,
Upstairs Lounge and Bar,North Goa,Panjim,,,,"Rs  1,000 for 2 (approx)",Continental and Goan,,,,,,,,
Beetle Pub,North Goa,Porvorim,,,,"Rs  1,000 for 2 (approx)",North Indian and Italian,,,,,,,,
Uncle Tim's - Soul Food,North Goa,Porvorim,,,,"Rs  1,000 for 2 (approx)",Continental and Beverages,,,,,,,,
Moki Bar+Kitchen,North Goa,Porvorim,,,,"Rs  1,500 for 2 (approx)",European,,,,,,,,
Soi,North Goa,Candolim,,,,"Rs  1,500 for 2 (approx)",Goan and Seafood,,,,,,,,
Tomato's Garden Kitchen And Bar,North Goa,Candolim,,,,"Rs  1,300 for 2 (approx)",North Indian and Chinese and Goan and Italian and Continental,,,,,,,,
SinQ Night Club,North Goa,Candolim,,,,"Rs  2,400 for 2 (approx)",Finger Food,,,,,,,,
Arbor Brewing Company - Beer Garden & Eatery,North Goa,Saligao,,,,"Rs  1,000 for 2 (approx)",Continental and Fast Food,,,,,,,,
Fenicia Lounge,North Goa,Candolim,,,,"Rs  2,200 for 2 (approx)",Continental and Asian and Italian,,,,,,,,
Purple Martini,North Goa,Anjuna,,,,"Rs  2,000 for 2 (approx)",Continental and Goan and North Indian and Chinese and Desserts,,,,,,,,
Salt Bar And Restaurant,North Goa,Baga,,,,"Rs  1,300 for 2 (approx)",Chinese and North Indian and Goan,,,,,,,,
Beyond Belief,North Goa,Candolim,,,,"Rs  1,700 for 2 (approx)",Continental and Asian and North Indian and Chinese,,,,,,,,
One Calangute Beach Club,North Goa,Calangute,,,,"Rs  1,600 for 2 (approx)",North Indian and Continental and Chinese and Fast Food,,,,,,,,
The Cape Town Cafe,North Goa,Baga,,,,"Rs  1,500 for 2 (approx)",Goan and Chinese and North Indian,,,,,,,,
Sake,North Goa,Assagao,,,,"Rs  1,700 for 2 (approx)",Sushi and Japanese and Asian,,,,,,,,
Aqua,North Goa,Baga,,,,"Rs  1,400 for 2 (approx)",Continental and Italian and North Indian,,,,,,,,
Saltwater,North Goa,Baga,,,,"Rs  1,200 for 2 (approx)",Continental and North Indian,,,,,,,,
Neighbors,North Goa,Assagao,,,,"Rs  1,500 for 2 (approx)",European,,,,,,,,
Goa Gossips,North Goa,Arpora,,,,"Rs  1,500 for 2 (approx)",Chinese and Continental and North Indian,,,,,,,,
8seashells,North Goa,Calangute,,,,"Rs  1,500 for 2 (approx)",Goan,,,,,,,,
Anjoned Cafe,North Goa,Anjuna,,,,"Rs  1,100 for 2 (approx)",Italian and North Indian,,,,,,,,
Soro,North Goa,Assagao,,,,"Rs  1,200 for 2 (approx)",Italian and Continental and Desserts,,,,,,,,
Square Sparrow,North Goa,Anjuna,,,,"Rs  1,500 for 2 (approx)",Continental and Chinese and Italian,,,,,,,,
Drift,North Goa,Anjuna,,,,"Rs  2,000 for 2 (approx)",Goan,,,,,,,,
Raeeth,North Goa,Vagator,,,,"Rs  2,000 for 2 (approx)",Continental and Goan and American and Italian and Middle Eastern,,,,,,,,
Aabu's Bar & Cafe,North Goa,Arpora,,,,"Rs  1,500 for 2 (approx)",Continental and North Indian,,,,,,,,
Antares Restaurant & Beach Club,North Goa,Vagator,,,,"Rs  2,400 for 2 (approx)",Italian and Goan and Desserts,,,,,,,,
Bo Tai,North Goa,Vagator,,,,"Rs  2,200 for 2 (approx)",Asian and Continental and Thai and Sushi,,,,,,,,
Bistro Vagator,North Goa,Vagator,,,,"Rs  1,400 for 2 (approx)",Fast Food and Beverages,,,,,,,,
Casa Playa,North Goa,Anjuna,,,,"Rs  2,000 for 2 (approx)",Italian and Goan,,,,,,,,
Larive Beach Resort & Restaurant,North Goa,Vagator,,,,"Rs  2,500 for 2 (approx)",Continental and European,,,,,,,,
Elephant & Co,North Goa,Anjuna,,,,"Rs  2,000 for 2 (approx)",Asian and Continental,,,,,,,,
The Flying Goat,North Goa,Anjuna,,,,Rs  800 for 2 (approx),Continental and American,,,,,,,,
The Food Chord,North Goa,Anjuna,,,,"Rs  1,400 for 2 (approx)",Continental and Chinese and North Indian and Italian,,,,,,,,
Aviary Beach Bar,North Goa,Vagator,,,,"Rs  1,500 for 2 (approx)",North Indian and Continental and Italian,,,,,,,,
Bar High Five,North Goa,Vagator,,,,"Rs  1,100 for 2 (approx)",Finger Food,,,,,,,,
Mimi's Kitchen & Bar,North Goa,Morjim,,,,Rs  800 for 2 (approx),American and Goan and North Indian and Continental and Fast Food,,,,,,,,
Speakeazy Bar,North Goa,Vagator,,,,"Rs  3,000 for 2 (approx)",Continental and Asian and Sushi,,,,,,,,
Domingo's Gazebo,South Goa,Varca,,,,Rs  800 for 2 (approx),Chinese and Goan and North Indian and Seafood,,,,,,,,
Sagres,South Goa,Cavelossim,,,,"Rs  1,800 for 2 (approx)",Finger Food,,,,,,,,
Baywatch Multicuisine Restaurant,South Goa,Colva,,,,"Rs  1,000 for 2 (approx)",Continental and Goan and Chinese and South Indian,,,,,,,,
Pavilion At the Village Square,South Goa,Cansaulim,,,,"Rs  1,200 for 2 (approx)",,,,,,,,,
Thalassa Greek Tavern,North Goa,Panjim,,,,"Rs  1,800 for 2 (approx)",Greek and Mediterranean and Goan and Seafood,,,,,,,,
Kokum Kitchen,North Goa,Candolim,,,,"Rs  2,000 for 2 (approx)",Goan and Seafood and Continental,,,,,,,,
Co Co Mo,North Goa,Candolim,,,,Rs  800 for 2 (approx),Goan and Chinese and Italian and North Indian,,,,,,,,
A Reverie,North Goa,Calangute,,,,"Rs  3,000 for 2 (approx)",Continental and Seafood,,,,,,,,
La Ceres Caff�,North Goa,Candolim,,,,"Rs  1,000 for 2 (approx)",Continental and North Indian and Desserts and Fast Food and Goan and Italian,,,,,,,,
Baba Au Rhum,North Goa,Anjuna,,,,"Rs  1,000 for 2 (approx)",Italian and Continental and French,,,,,,,,
Cafe Rasta,North Goa,Arambol,,,,Rs  800 for 2 (approx),Fast Food,,,,,,,,
Cafe Chocolatti,,"Fort Aguada Road, Candolim, Goa",,,,1200,,,,,"9:00 am to 7:00 pm, Tuesdays closed",,"French Toast, Berry Smoothie, Hot Chocolate, Crepes, Cakes, Brownies",,"If you are looking for an elegant cafe in North Goa, this one is a great option. Located inside a residential villa, Cafe Chocolatti is in essence an extension of the owner’s house. With impeccable views of the outdoors, this hangout spot is a tranquil haven on the bustling Candolim street, and serves mouth-watering breakfast, desserts, and beverages. The soft and soothing music that unceasingly plays in the background will ensure a cosy dining experience.
"
Baba Au Rhum,,"Sim Vaddo, Anjuna, Goa",,,,1200,,,,,"9:00 am to 5:00 pm and 6:00 pm to 10:00 pm, Tuesdays closed",,"Croissant Sandwich, Baguette Sandwich, Supreme Burger, Earth Pizza, Vietnamese Coffee",,"Baba Au Rhum is one of the best cafes in Goa that will simply make you fall in love with the food and the surroundings. This Portuguese-styled cafe is set amidst paddy fields and bamboo forests, and offers visitors a relaxing ambiance. It is tucked away in a narrow lane in North Goa’s Anjuna and has a chic, yet rustic vibe to it. The place is most famous for its burgers, salads, shakes, and coffee.  "
Eva Cafe,,"Anthony Street, Anjuna, Goa",,,,950,,,,,9:00 am to 8:00 pm,,"Sandwiches, Strawberry Mojito, Shakshouka, Smoothies, Pancake, Juices",,"Eva Cafe is among the best cafes in North Goa that scores full points for aesthetics. Serving spectacular views of the infinite Arabian Sea, this gorgeous cafe on the coast of Anjuna beach seems straight out of a fairy tale. You can spend a relaxing evening with friends and family and enjoy the mesmerising sunset, breezy ambiance, and delectable food. The place serves the most delish breakfast bowls along with a range of sandwiches, pasta, salads, and much more."
The Rice Mill,,"Morjim, Goa",,,,950,,,,,10:00 am to 6:00 pm,,"Keema Pavthey, Prawn Danggar, Chicken Xacuti",,"The Rice Mill is a beautiful, vibrant, and cosy cafe in Goa that is all about positive vibes. Located in the Morjim area, this cafe is built inside the premises of an old rice mill. The place features an earthy vibe with brick-exposed yellow walls and rustic furniture. It captivates visitors with its minimalistic beauty and scrumptious Goan cuisine. A fully-functional bar along with regular musical performances add to the popularity of this joint."
Artjuna,,"Monteiro Vaddo, Anjuna, Goa",,,,950,,,,,7:30 am to 10:00 pm,,"Baba Ganoush, Artjuna Toast, Shakshouka, Falafel Plate, Almond Croissant, Opera Pastry",,"Artjuna is an amazing outdoor garden cafe in Goa serving the most delightful treats. Featuring a library, a lifestyle shop, and a co-working space, this picture-perfect hangout spot is quite popular among tourists. It is a Portuguese-styled cafe with both indoor and outdoor seating arrangements. It serves a well-curated menu with various vegan dishes that attract a special clientele. You can also enjoy musical performances hosted on weekends for a fun dining experience."
Prana Cafe,,"Mandrem, Goa",,,,850,,,,,9:00 am to 11:00 pm,,"Cous Cous Hummus Salad, Quinoa Avocado Stack, Homemade Lemonade",,"If you are searching for cafes in Goa that serve the healthiest and freshest food, look no further than Prana Cafe. Situated in Waterman’s Village in Ashwem, the gorgeous cafe offers striking views of the white sands and clear blue skies. The place is known to offer high-quality food, fresh juices, locally-sourced pasta, and salads for a soul-satiating meal. There is also an uber-cool in-house gallery that showcases brilliant art pieces by local artists."
Carpe Diem,,"Costa Vaddo Road, Majorda, Goa",,,,600,,,,,10:00 am to 7:00 pm,,"Angry Bird Sandwich, Beefy Guy Burger, Apple Crumble, Savoury Waffles",,"If you are in South Goa, you must visit Carpe Diem to enjoy a real treat. Located in Majorda, this café is among the coolest hangout places that combines a range of activities, including dance and poetry workshops, art exhibitions, yoga sessions, and book readings. The cafe exhibits a rustic charm and offers the best comfort food to visitors. Apart from the utterly delicious sandwiches, milkshakes, and waffles, you can also enjoy tonnes of artwork and paintings displayed in the premises."
Cafe Al Fresco by Cantina Bodega,,"Althino, Panaji, Goa",,,,950,,,,,"10:00 am to 6:30 pm, Sundays closed",,"Mushroom Garlic Pasta, Kombucha, Salmon Bagel, Quiche, Berry Smoothie",,"Cafe Al Fresco is a pleasant cafe-cum-restaurant situated on the Althino hilltop in Panjim. Featuring stunning interiors and a charming vibe, this Portuguese villa courtyard is a great place to relish a hearty meal. It is set inside a cottage-like building that imparts an artsy touch to the place, ideal for those looking for peace and quietude. The place serves delightful American cuisine, with every dish bursting with authentic flavours."
Sakana,,"Chapora Road, Vagator, Goa",,,,2000,,,,,12:00 noon to 3:00 pm and 6:00 pm to 11:30 pm,,"Miso Soup, Sashimi, Beef Curry, Teriyaki Chicken, California Roll, Salmon",,"One of the best cafes in Goa, Sakana is the ideal place to go to satiate your cravings for Japanese cuisine. With a spacious seating arrangement and a cosy vibe, the place is a favourite haunt for tourists. The fully-functional bar at this warm and homely retreat serves incredible concoctions that are worth a try."
Royal Enfield Garage Cafe,,"Arpora, Goa",,,,1400,,,,,9:00 am to 12:00 midnight,,"Goan Chicken, Hamburger Omelette, Barbeque Chicken Pizza, Creamy Garlic Alfredo",,"Royal Enfield Garage Café is among the coolest cafes in North Goa that brings bikers, foodies, and travellers together. With beautifully-done up interiors and both indoor and outdoor seating arrangements, this hangout spot displays the best biking gear. You can visit the place to browse through RE memorabilia, enjoy live bands, sip on some chilled craft beer, and relish the most scrumptious cuisines."
Blue Planet Cafe,,"Canacona, Near Palolem, Goa",,,,1200,,,,,9:30 am to 3:00 pm and 6:00 pm to 9:30 pm,,"Peanut Chocolate Banana Smoothie, Pasta Alfredo",,"If you are in South Goa, you must visit the Blue Planet Cafe for a refreshing dining experience. A highly sought-after place, it is set amid lush forests and nestled in a magical setting with mighty hills servings as the backdrop. The open-air cafe, with its spacious and elegant seating, is a delight for vegans. The place is also known for serving the yummiest cheesecakes and smoothies."
Burger Factory,,"Morjim, Goa",,,,1200,,,,,12:30 pm to 10:00 pm,,"Peanut Butter Milkshake, Spinach Burger, Chicken Fillet, Fish Burger, Coconut Milkshake",,"As the name suggests, Burger Factory is one of the best cafes in Goa if you are craving some succulent burgers. Located by the beach, this rustic little cafe boasts of artsy interiors with a chic seating arrangement. The place serves an extensive range of gourmet burgers bursting with varied flavours and are a must-try."
Garden of Dreams,,"Arambol, Goa",,,,1000,,,,,9:30 am to 6:00 pm,,"Vegan Buddha Bowl, Holy Cacao, Beet & Orange Salad, Coconut Latte, Asian Tofu Burger, Vegan Cheese Panini",,"Garden of Dreams is a gorgeous little cafe in Goa wherein you can spend hours with friends or family. It is an ideal place to sit, relax, and relish delectable delights, all the while enjoying mesmerising views of the surroundings. The famous hangout spot for youngsters serves amazing food with a lot of vegan options. It is advisable to call before you visit the place as it remains shut during the monsoons."
Purple Martini At Sunset Point,,"Anjuna Beach, Anjuna, Goa",,,,3000,,,,,11:00 am to 12:00 midnight,,"Purple Martini, Chicken Kung Pao, Prawn Satay, Mexican Platter, Greek Style Pizza, Tortilla Wrap",,"Purple Martini is one of those unmissable cafes in Goa that must definitely be on your bucket list. The popular hangout spot is the best place to enjoy a fun-filled evening, while gazing in awe at the pretty sunset in the distant horizon. The cafe hosts live musical performances every week, which will surely be the highlight of your Goa trip. The place serves mouth-watering Continental, Chinese, North Indian, and Goan cuisines."
Waterfalls Café,,"The Zuri White Sands Resort, Varca, Benaulim, Goa",,,,2000,,,,,"24 hours, 7 days a week",,"Prawn Balchao, Pomfret Papico, Wildberry Cheesecake",,"A pleasing multi-cuisine cafe and restaurant, Waterfalls Cafe in South Goa happens to be the ideal place for those looking for a romantic dining date. Located within the premises of the Zuri White Sand resorts in Varca, the place serves delish food comprising North Indian, Chinese, and Continental cuisines. The ambiance is good and the staff personnel are extremely hospitable."
 Calamari Bathe & Binge,,"Dando Beach, Candolim, Goa",,,,1800,,,,,11:30 am to 11:30 pm,,"Calamari Fish, Butter Garlic Prawns, Fish Fingers, Chicken Xacuti, Mutton Fry, Paneer Tikka",,"Next on the list of the best cafes in Goa is Calamari Bathe & Binge, which is best known for its chill vibe, live music, and finger-licking delicious food. Tables are placed on the beach from where you can enjoy a romantic candlelight dinner. On the menu front, the cafe serves the best seafood, North Indian, Chinese, Continental, and Goan cuisines that are prepared with utmost care and finesse."
Thalassa,,"Siolim, Goa",,,,2500,,,,,9:00 am to 1:00 am,,"Spicy Mushroom Saganaki, Chicken Gyros, Beef Steak Souvlaki, Roast Lamb, Chicken Casserole, Chocolate Baklava",,"This is arguably the best night cafe in North Goa that ensures a dazzling dining experience. The Greek-styled cafe-cum-restaurant with elegant white chairs and magical outdoor seating is immensely scenic. You can enjoy a nice evening at the place admiring the beauty of Vagator coast with the cool breeze caressing your face. While here, you can also devour some soul-satiating dishes across Greek, Seafood, and Mediterranean cuisines."
Saz On The Beach,,"Gawdewada Road, Morjim, Goa",,,,1400,,,,,1:00 pm to 1:00 am,,"Chargrilled Chicken Taco, Charred Beef Tenderloin Burger, Black Pepper Crusted Chicken, Blueberry Cheesecake",,"Saz On The Beach on Morjim Beach offers a luxurious dining experience with world-class cuisine. Featuring a boho-chic interior theme, romantic seating arrangement, and Afro music playing in the background, this Tulum-inspired haunt appeals to people of all ages. The Continental menu includes some of the most delightful delicacies, and there is also a fully-functional bar."
Titlie,,"Ozran, Vagator, Goa",,,,2000,,,,,1:00 pm to 12:00 midnight,," Ceviche, Burnt Onion Kulcha, Hummus Pita, Baked Snapper, Desserts",,"One of the most stylish cafes in Goa, this butterfly-themed place is a cool hangout spot. With a sea view, cosy outdoor seating, and fusion cuisine from all across the world, the place is great to enjoy a sundowner. Apart from delish coffee, Titlie is also great for downing great cocktails along with friends. The crowd and ambiance here are simply amazing."
The Fisherman’s Wharf,,"Panaji, Calangute, Cavelossim",,,,1300,,,,,12:00 noon to 11:00 pm,,"Tawa Fish, Pomfret Butter Pepper, Badami Broccoli, Lobsters, Spaghetti Marinara, Squid Tempura, Chorizo Pao, Pork Spare Ribs,",,"The Fisherman’s Wharf is another famous cafe in Goa that has three outlets. All three locations are known for their impeccable food, brilliant ambiance, and great interiors, and ensure the ultimate dining experience. When here, you must try the authentic delicacies of Goa. You can also enjoy the deliciousness of North Indian, Chinese, Continental, and seafood cuisines that are just as awesome."
